,Population
LL56,2299
DE5,113075
EX19,3611
N16,68636
PL6,40941
B75,26863
B18,16739
MK42,44351
WV15,8415
SA19,9662
WC1E,2256
MK15,7140
NE9,37590
NE23,39251
NE25,29944
EX36,8540
ST2,46769
BS24,19035
CF37,38329
DN7,24523
PE23,8681
BN26,11452
IG9,12817
NE63,27735
SK4,34511
BH24,23496
SO43,4419
WA13,12899
TS17,45141
DH3,25799
WS14,17652
GU10,22584
DH9,36733
LD5,1105
WR2,29799
EC3V,16
KT1,250364
TQ3,30796
SY14,5843
BB6,14602
SW15,60665
CW4,9306
SY19,1035
CM7,64200
BH23,52852
YO14,11294
WA14,28237
RG19,16916
B64,16616
L4,58186
NG24,44768
TN35,17270
BN15,27300
CF32,29931
S18,24857
BS26,4934
LL37,554
L36,39899
BL5,27064
RG14,37698
SM1,38274
DT4,37011
WR7,5348
TN38,28714
SE19,27639
WA16,23417
BH6,22725
CW7,31436
PE11,43066
SP8,14512
NN6,33495
GL4,47346
CV23,21968
BS29,2588
GU19,5618
HD2,28726
OL14,15589
OX27,6847
CA18,324
PE5,1453
M35,20672
BN14,31007
WA1,230205
SY12,8001
N2,109700
CO11,12978
ME19,21682
PO17,6635
TN15,24543
LL67,1416
CV31,31562
NE49,4403
SW18,59838
WC1A,911
LS10,35616
ST6,64695
BN6,17588
HG4,26000
EX34,17320
DN41,6279
BD13,24817
LL53,17142
RM9,36253
HU3,27015
SM6,36303
SW19,77453
EC1Y,3928
W1G,3059
EC1R,4891
CF39,28868
NP26,22595
LS16,36388
LE13,27092
B31,53794
RG28,5766
DE75,18589
LN4,38539
L21,25388
SS14,25195
HP22,24984
TS19,37107
DL17,17732
WR1,123913
CO12,22251
NE3,275023
LA1,165497
YO19,12740
LD1,11158
NR34,22370
TN10,16623
WC2B,1831
LS13,34757
NE32,25359
HG1,34465
WV6,44689
S6,301680
DL12,12515
OX9,14034
LS2,252665
YO24,29671
BL3,63944
CT8,7368
KT6,31384
DN19,6296
B49,10097
PE2,269471
N4,47286
CB25,18274
DT1,61086
GL2,80525
L26,15156
EC3A,44
RM19,6532
WF3,32521
TR22,85
NG21,22118
LS23,9149
DN34,19271
TN6,24887
AL8,13366
PL34,1755
WR5,30933
TW11,23198
DN5,40593
N11,29882
CV5,46726
HP2,141791
EC3M,6
CO3,28502
EC1V,13065
DA10,6658
HU8,34941
CM17,21268
GU30,9268
TA13,3961
TQ6,8259
S25,20863
OX11,33280
CA3,14069
TN13,24932
BS16,75733
WD7,12637
DN1,243552
TD9,105
SE5,46752
HP19,23639
HP23,17599
TR7,19909
ST17,39360
TN8,13145
SE8,27491
CO14,6660
YO7,20048
HP4,23922
NG12,32916
SY18,4648
EX12,9306
WS10,46710
AL9,10641
L5,12961
ME6,10235
LA4,26251
W10,33973
RG27,20686
B13,37672
B15,17872
LU3,61454
TA23,5498
LL75,1533
GL16,13281
CV12,31503
LS18,19159
CB9,32864
SE12,27355
TQ11,4255
E15,52244
TN29,13401
CM12,20043
CF72,26110
SA3,78324
HU17,43515
OL8,39680
TR24,175
GU23,6864
CV4,49603
CR2,48428
SR8,35443
RG26,22373
BB2,59842
GU47,18860
LL66,264
ST8,20197
EX15,21043
SR3,38726
HX5,10037
SA41,1943
B92,36119
CM3,53826
SN10,31537
DE72,20453
N3,26599
DY7,8028
PE35,99
IP19,9968
NE65,19671
SG19,24199
EX32,23896
M3,225185
CA2,95801
SK11,36888
SG16,6091
AL7,33974
GL17,11547
RM2,18222
WN4,28794
WC2N,861
TW7,37643
YO16,25109
TF11,9677
NE22,18163
OX49,4243
DL5,29224
BH21,40648
TS26,25279
BL4,33688
IP15,2444
RM12,34663
IG3,35543
IP14,39112
PE28,47969
EC4R,39
NE34,52220
SA12,32650
PO16,32612
NG2,204375
WD23,25347
NR28,17342
TN36,2330
BS27,6996
SA31,17254
DH7,41076
NE19,2159
TA21,18339
PE34,13975
NE39,8655
CB3,16104
B12,20548
DY1,140539
PE32,15322
CA17,4827
TQ1,134595
IP27,19018
YO8,43547
CV34,31269
PO5,30299
EC4V,446
WC2E,647
BS1,238211
GL11,18185
LL34,4347
SG1,198726
NN7,27341
NE15,32569
TQ8,2059
GU51,23398
SE24,18761
TN1,181785
SY6,7014
PL20,12084
WF4,43092
DN37,21707
RH3,4313
HR2,39167
B70,27772
EC1M,2138
BD24,5180
DT8,5893
SO23,22106
M38,13549
BN42,10201
HU12,25490
SK12,19049
MK19,11204
KT16,18494
W14,37204
E5,47669
W3,52043
CR7,44620
CT18,14357
NN14,43207
SA10,30071
M41,41476
B94,7298
LL77,7085
LN5,32968
E18,19022
HD7,22497
B14,43099
BN2,271943
ME10,47660
NE12,34659
S43,40574
CM2,151198
NP24,4962
PE6,35888
PL4,36388
WA11,40578
SA62,20896
GU32,12114
SW4,40539
SE11,21593
CT20,22601
TN4,48679
TA9,12579
S70,38536
DN35,34580
WS12,35108
BD4,31147
DN14,46333
RM4,4290
WR12,5576
PE31,19911
IP24,27836
WR15,7196
BA3,34598
ME15,47958
TS8,21266
SE20,22821
PL13,9404
OL4,44266
DA6,10054
BB3,34200
DE56,39818
SA45,1642
CA24,1036
LL55,21444
RM3,40272
ME17,22067
CB5,12092
DA11,38618
CW8,35261
SY11,26716
KT23,11054
NR19,20332
S75,43568
SS16,29575
FY8,43864
NR4,22331
B71,30934
M12,16377
NE35,6371
EN4,25767
EN2,29515
EX35,1677
